Locale (BCP-47)	Text-to-speech voices
lo-LA	lo-LA-KeomanyNeural2 (Female)
	lo-LA-ChanthavongNeural2 (Male)
lt-LT	lt-LT-OnaNeural2 (Female)
	lt-LT-LeonasNeural2 (Male)
lv-LV	lv-LV-EveritaNeural2 (Female)
	lv-LV-NilsNeural2 (Male)
mk-MK	mk-MK-MarijaNeural2 (Female)
	mk-MK-AleksandarNeural2 (Male)
ml-IN	ml-IN-SobhanaNeural2 (Female)
	ml-IN-MidhunNeural2 (Male)
mn-MN	mn-MN-YesuiNeural2 (Female)
	mn-MN-BataaNeural2 (Male)
mr-IN	mr-IN-AarohiNeural (Female)
	mr-IN-ManoharNeural (Male)
ms-MY	ms-MY-YasminNeural (Female)
	ms-MY-OsmanNeural (Male)
mt-MT	mt-MT-GraceNeural2 (Female)
	mt-MT-JosephNeural2 (Male)
my-MM	my-MM-NilarNeural2 (Female)
	my-MM-ThihaNeural2 (Male)
nb-NO	nb-NO-PernilleNeural (Female)
	nb-NO-FinnNeural (Male)
	nb-NO-IselinNeural (Female)
ne-NP	ne-NP-HemkalaNeural2 (Female)
	ne-NP-SagarNeural2 (Male)
nl-BE	nl-BE-DenaNeural (Female)
	nl-BE-ArnaudNeural (Male)
nl-NL	nl-NL-FennaNeural (Female)
	nl-NL-MaartenNeural (Male)
	nl-NL-ColetteNeural (Female)
pl-PL	pl-PL-AgnieszkaNeural (Female)
	pl-PL-MarekNeural (Male)
	pl-PL-ZofiaNeural (Female)
ps-AF	ps-AF-LatifaNeural2 (Female)
	ps-AF-GulNawazNeural2 (Male)
pt-BR	pt-BR-FranciscaNeural (Female)
	pt-BR-AntonioNeural (Male)
	pt-BR-BrendaNeural (Female)
	pt-BR-DonatoNeural (Male)
	pt-BR-ElzaNeural (Female)
	pt-BR-FabioNeural (Male)
	pt-BR-GiovannaNeural (Female)
	pt-BR-HumbertoNeural (Male)
	pt-BR-JulioNeural (Male)
	pt-BR-LeilaNeural (Female)
	pt-BR-LeticiaNeural (Female)
	pt-BR-ManuelaNeural (Female)
	pt-BR-NicolauNeural (Male)
	pt-BR-ThalitaNeural (Female)
	pt-BR-ValerioNeural (Male)
	pt-BR-YaraNeural (Female)
pt-PT	pt-PT-RaquelNeural (Female)
	pt-PT-DuarteNeural (Male)
	pt-PT-FernandaNeural (Female)
ro-RO	ro-RO-AlinaNeural (Female)
	ro-RO-EmilNeural (Male)
ru-RU	ru-RU-SvetlanaNeural (Female)
	ru-RU-DmitryNeural (Male)
	ru-RU-DariyaNeural (Female)
si-LK	si-LK-ThiliniNeural2 (Female)
	si-LK-SameeraNeural2 (Male)
sk-SK	sk-SK-ViktoriaNeural (Female)
	sk-SK-LukasNeural (Male)
sl-SI	sl-SI-PetraNeural (Female)
	sl-SI-RokNeural (Male)
so-SO	so-SO-UbaxNeural2 (Female)
	so-SO-MuuseNeural2 (Male)
sq-AL	sq-AL-AnilaNeural2 (Female)
	sq-AL-IlirNeural2 (Male)
sr-LATN-RS	sr-Latn-RS-NicholasNeural1,2 (Male)
	sr-Latn-RS-SophieNeural1,2 (Female)
sr-RS	sr-RS-SophieNeural2 (Female)
	sr-RS-NicholasNeural2 (Male)
su-ID	su-ID-TutiNeural2 (Female)
	su-ID-JajangNeural2 (Male)
sv-SE	sv-SE-SofieNeural (Female)
	sv-SE-MattiasNeural (Male)
	sv-SE-HilleviNeural (Female)
sw-KE	sw-KE-ZuriNeural2 (Female)
	sw-KE-RafikiNeural2 (Male)
sw-TZ	sw-TZ-RehemaNeural (Female)
	sw-TZ-DaudiNeural (Male)
ta-IN	ta-IN-PallaviNeural (Female)
	ta-IN-ValluvarNeural (Male)
ta-LK	ta-LK-SaranyaNeural (Female)
	ta-LK-KumarNeural (Male)
ta-MY	ta-MY-KaniNeural (Female)
	ta-MY-SuryaNeural (Male)
ta-SG	ta-SG-VenbaNeural (Female)
	ta-SG-AnbuNeural (Male)
te-IN	te-IN-ShrutiNeural (Female)
	te-IN-MohanNeural (Male)
th-TH	th-TH-PremwadeeNeural (Female)
	th-TH-NiwatNeural (Male)
	th-TH-AcharaNeural (Female)
tr-TR	tr-TR-EmelNeural (Female)
	tr-TR-AhmetNeural (Male)
uk-UA	uk-UA-PolinaNeural (Female)
	uk-UA-OstapNeural (Male)
ur-IN	ur-IN-GulNeural (Female)
	ur-IN-SalmanNeural (Male)
ur-PK	ur-PK-UzmaNeural (Female)
	ur-PK-AsadNeural (Male)
uz-UZ	uz-UZ-MadinaNeural2 (Female)
	uz-UZ-SardorNeural2 (Male)
vi-VN	vi-VN-HoaiMyNeural (Female)
	vi-VN-NamMinhNeural (Male)
wuu-CN	wuu-CN-XiaotongNeural2 (Female)
	wuu-CN-YunzheNeural2 (Male)
yue-CN	yue-CN-XiaoMinNeural1,2 (Female)
	yue-CN-YunSongNeural1,2 (Male)
zh-CN	zh-CN-XiaoxiaoNeural (Female)
	zh-CN-YunxiNeural (Male)
	zh-CN-YunjianNeural (Male)
	zh-CN-XiaoyiNeural (Female)
	zh-CN-YunyangNeural (Male)
	zh-CN-XiaochenNeural (Female)
	zh-CN-XiaohanNeural (Female)
	zh-CN-XiaomengNeural (Female)
	zh-CN-XiaomoNeural (Female)
	zh-CN-XiaoqiuNeural (Female)
	zh-CN-XiaoruiNeural (Female)
	zh-CN-XiaoshuangNeural (Female, Child)
	zh-CN-XiaoxuanNeural (Female)
	zh-CN-XiaoyanNeural (Female)
	zh-CN-XiaoyouNeural (Female, Child)
	zh-CN-XiaozhenNeural (Female)
	zh-CN-YunfengNeural (Male)
	zh-CN-YunhaoNeural (Male)
	zh-CN-YunxiaNeural (Male)
	zh-CN-YunyeNeural (Male)
	zh-CN-YunzeNeural (Male)
	zh-CN-XiaorouNeural1 (Female)
	zh-CN-YunjieNeural1 (Male)
zh-CN-GUANGXI	zh-CN-guangxi-YunqiNeural1,2 (Male)
zh-CN-henan	zh-CN-henan-YundengNeural2 (Male)
zh-CN-liaoning	zh-CN-liaoning-XiaobeiNeural1,2 (Female)
	zh-CN-liaoning-YunbiaoNeural1,2 (Male)
zh-CN-shaanxi	zh-CN-shaanxi-XiaoniNeural1,2 (Female)
zh-CN-shandong	zh-CN-shandong-YunxiangNeural2 (Male)
zh-CN-sichuan	zh-CN-sichuan-YunxiNeural1,2 (Male)
zh-HK	zh-HK-HiuMaanNeural (Female)
	zh-HK-WanLungNeural (Male)
	zh-HK-HiuGaaiNeural (Female)
zh-TW	zh-TW-HsiaoChenNeural (Female)
	zh-TW-YunJheNeural (Male)
	zh-TW-HsiaoYuNeural (Female)
zu-ZA	zu-ZA-ThandoNeural2 (Female)
	zu-ZA-ThembaNeural2 (Male)
